,Region,HH_numbers,Marital_status,Age,Children,Female,Drafted,Education,Wellbeing,Employed,Sector,Employment_status,Weekly_working_hours,Occupation,Wage,Second_job,Additional_training_need,Useful_education,Foreign_language_besides_Rus,Foreign_language1,Foreign_language2,Foreign_language1_level,Foreign_language2_level,IT_skills,Read_instructions,Read_letters,Read_articles,Read_journals,Read_manuals,Read_invoices,Read_diagrams,Write_letters,Write_articles,Write_reports,Fill_in_forms,Work_with_prices,Work_with_fractions_percentages,Work_with_graphs,Work_with_formulas,Work_with_statistics,Work_with_computer,Comp_tools_email,Comp_tools_Inet,Comp_tools_Transactions,Comp_tools_Excel,Comp_tools_Word,Comp_tools_Programming,Comp_tools_teleconferences,Comp_tools_other,Required_Comp_skills_level,Have_comp_skills_for_work,Comp_skills_effect_on_employment,Language_skills_on_employment,Russian,English,French,Nothing,Facebook_user,FB_friends,Actual_friends_from_fb,LinkedIn_user,LinkedIn_followers,Actual_followers_from_LinkedIn,Professional_match,Required_education_for_the_job,Have_skills_for_more_demanding_job
121,Երևան,4,Ամուսնացած,30,0,0,1,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Բավարար,1,Q,Վարձու աշխատող,40,2,200000,Ոչ,Ոչ,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Ամեն օր,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Այո,1,1,1,1,1,0,1,0,Բարձր,Այո,Ոչ,Ոչ,1,1,0,0,1,2000,400,0,,,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
122,Երևան,3,Ամուսնացած,33,0,0,1,Բակալավր,Լավ,1,J,Վարձու աշխատող,40,3,,Ոչ,Դժվարանում եմ պատասխանել,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Շատ սահմանափակ իմացություն,,Մասնագիտացված իմացություն (ծրագրավորում),Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Այո,1,1,0,1,1,0,1,0,Բարձր,Այո,Ոչ,Ոչ,0,0,0,1,0,,,0,,,Ոչ,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
124,Երևան,3,Չամուսնացած,25,0,0,1,Միջնակարգ/Ավագ դպրոց,Վատ,1,G,Վարձու աշխատող,48,1,103000,Ոչ,Ոչ,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամիսը մեկ անգամից քիչ,Երբեք,Ամեն օր,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,Երբեք,Այո,1,0,0,1,1,0,0,0,Միջին,Այո,Ոչ,Ոչ,0,1,0,0,1,100,70,0,,,Որևէ հատուկ մասնագիտության համար ուսումնառություն չեմ ստացել,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
125,Երևան,3,Ամուսնացած,50,0,1,,Միջին մասնագիտական,Բավարար,0,,,,,,,,Շատ օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Կիրառելի չէ,0,0,0,0,0,0,0,0,Կիրառելի չէ,Այո,Ոչ,Ոչ,1,0,0,0,1,300,100,0,,,Այո,Միջին մասնագիտական կրթություն պահանջվում է,Այո
126,Երևան,4,Չամուսնացած,26,0,1,,Միջնակարգ/Ավագ դպրոց,Վատ,0,,,,,,,Ոչ,Բոլորովին օգտակար չէ,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Ամեն օր,Երբեք,Երբեք,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,Այո,1,1,1,1,1,0,0,0,Ցածր,Այո,Ոչ,Ոչ,1,0,0,0,1,100,0,0,,,Ոչ,Միջին մասնագիտական կրթություն չի պահանջվում,Ոչ
128,Շիրակ,5,Ամուսնացած,27,0,0,1,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Լավ,1,K,Վարձու աշխատող,40,2,200000,Ոչ,Այո,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամիսը մեկ անգամից քիչ,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Այո,1,1,1,1,1,0,1,0,Միջին,Այո,Ոչ,Ոչ,1,1,0,0,1,638,20,1,1200,100,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
130,Երևան,4,Ամուսնացած,44,0,1,,Միջին մասնագիտական,Լավ,1,H,Վարձու աշխատող,40,2,100000,Ոչ,Ոչ,Բոլորովին օգտակար չէ,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Ամեն օր,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Այո,1,1,1,1,1,0,0,0,Միջին,Այո,Այո,Ոչ,0,0,0,1,1,10,0,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Ոչ
131,Երևան,4,Չամուսնացած,27,0,0,1,Բակալավր,Բավարար,1,G,Վարձու աշխատող,48,5,180000,Ոչ,Ոչ,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Գերազանց իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Այո,1,1,1,1,1,0,0,0,Բարձր,Այո,Ոչ,Ոչ,1,1,0,0,1,500,15,1,350,40,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Այո
132,Շիրակ,5,Ամուսնացած,38,1,1,,Բակալավր,Բավարար,1,K,Վարձու աշխատող,40,4,170000,Ոչ,Ոչ,Շատ օգտակար,1,Անգլերեն,Թուրքերեն,Միջին իմացություն,Շատ սահմանափակ իմացություն,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Այո,1,1,1,1,1,0,0,0,Միջին,Այո,Այո,Ոչ,1,0,0,0,1,400,150,0,,,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
133,Երևան,4,Ամուսնալուծված,32,0,1,,"Հետբուհական (Ասպիրատուրա, Դոկտորանտուրա, Օրդինատուրա)",Բավարար,0,,,,,,,,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Գերազանց իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),Ամեն օր,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,Ամեն օր,Երբեք,Այո,1,1,0,1,1,1,1,1,Միջին,Այո,Ոչ,Ոչ,1,1,0,0,1,250,50,1,100,30,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
134,Շիրակ,5,Չամուսնացած,40,0,1,,"Հետբուհական (Ասպիրատուրա, Դոկտորանտուրա, Օրդինատուրա)",Բավարար,1,P,Վարձու աշխատող,23,2,120000,Ոչ,Այո,Շատ օգտակար,1,Անգլերեն,,Գերազանց իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Ամեն օր,Ամեն օր,Երբեք,Երբեք,Ամիսը մեկ անգամից քիչ,Երբեք,Երբեք,Այո,1,1,0,0,1,0,0,0,Բարձր,Այո,Այո,Ոչ,1,1,0,0,1,250,60,1,35,30,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
135,Երևան,3,Չամուսնացած,24,0,1,,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Լավ,1,K,Վարձու աշխատող,60,3,100000,Ոչ,Այո,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Գերազանց իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),Ամիսը մեկ անգամից քիչ,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամեն օր,Ամեն օր,Ամեն օր,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Այո,1,1,0,1,1,0,1,0,Բարձր,Այո,Ոչ,Ոչ,1,1,0,0,1,500,150,1,50,40,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
137,Երևան,3,Ամուսնալուծված,42,1,0,1,Միջին մասնագիտական,Վատ,1,T,Վարձու աշխատող,72,9,120000,Ոչ,Ոչ,Բոլորովին օգտակար չէ,1,Անգլերեն,,Միջին իմացություն,,"Շատ սահմանափակ իմացություն (տեղեկատվության որոնում – փաստաթղթերի ընթերցում, նամակների ընթերցում)",Երբեք,Ամեն օր,Երբեք,Երբեք,Ամիսը մեկ անգամից քիչ,Երբեք,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,1,0,0,0,,,0,,,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
139,Արագածոտն,4,Չամուսնացած,23,0,0,0,Բակալավր,Լավ,1,K,Վարձու աշխատող,40,2,100000,Ոչ,Այո,Շատ օգտակար,1,Անգլերեն,,Շատ սահմանափակ իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),Երբեք,Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Ամեն օր,Երբեք,Ամեն օր,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Երբեք,Այո,1,1,0,1,1,0,0,0,Միջին,Այո,Ոչ,Դժվարանում եմ պատասխանել,0,0,0,1,1,150,55,0,,,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
140,Երևան,7,Ամուսնացած,27,1,0,0,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Շատ վատ,0,,,,,,,Ոչ,Բոլորովին օգտակար չէ,1,Անգլերեն,,Շատ սահմանափակ իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ամեն օր,Երբեք,Երբեք,Ամեն օր,Երբեք,Այո,0,1,0,1,1,0,0,0,Միջին,Այո,Այո,Ոչ,1,1,0,0,1,100,10,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Այո
141,Երևան,4,Ամուսնացած,35,2,1,,Միջնակարգ/Ավագ դպրոց,Բավարար,1,G,Վարձու աշխատող,40,5,60000,Ոչ,Ոչ,Ինչ-որ չափով օգտակար,1,Անգլերեն,Լեհերեն,Միջին իմացություն,Միջին իմացություն,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,0,0,0,1,184,10,0,,,Որևէ հատուկ մասնագիտության համար ուսումնառություն չեմ ստացել,Միջին մասնագիտական կրթություն պահանջվում է,Այո
142,Շիրակ,5,Ամուսնացած,39,0,0,1,Բակալավր,Բավարար,1,O,Վարձու աշխատող,50,0,170000,Ոչ,Այո,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Միջին իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Երբեք,Այո,1,0,0,0,1,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,0,0,0,1,500,2,1,20,0,Այո,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
143,Երևան,4,Չամուսնացած,24,0,0,1,Բակալավր,Բավարար,1,G,Վարձու աշխատող,30,5,150000,Ոչ,Ոչ,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,Այո,1,1,0,1,1,0,1,0,Միջին,Այո,Ոչ,Ոչ,1,1,0,0,1,850,650,0,,,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Ոչ
144,Շիրակ,4,Ամուսնացած,30,0,0,1,Բակալավր,Լավ,0,,,,,,,,Ինչ-որ չափով օգտակար,1,Վրացերեն,,Շատ սահմանափակ իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Ամեն օր,Ամեն օր,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Այո,0,0,0,0,0,0,0,1,Միջին,Այո,Ոչ,Այո,0,0,0,1,1,500,4,0,,,Ոչ,Միջին մասնագիտական կրթություն չի պահանջվում,Այո
145,Շիրակ,4,Ամուսնացած,39,2,0,1,Բակալավր,Բավարար,1,H,Վարձու աշխատող,48,3,,Ոչ,Ոչ,Շատ օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամեն օր,Ամիսը մեկ անգամից քիչ,Երբեք,Երբեք,Ամեն օր,Երբեք,Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Այո,1,1,0,0,0,0,0,0,Ցածր,Այո,Ոչ,Ոչ,1,0,0,0,1,200,200,0,,,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
146,Երևան,5,Ամուսնալուծված,38,2,0,1,Միջնակարգ/Ավագ դպրոց,Վատ,0,,,,,,,,Բոլորովին օգտակար չէ,0,,,,,"Շատ սահմանափակ իմացություն (տեղեկատվության որոնում – փաստաթղթերի ընթերցում, նամակների ընթերցում)",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Ոչ,Ոչ,Ոչ,0,0,0,1,1,205,50,0,,,Որևէ հատուկ մասնագիտության համար ուսումնառություն չեմ ստացել,Միջին մասնագիտական կրթություն չի պահանջվում,Ոչ
147,Շիրակ,4,Ամուսնացած,32,1,1,,Բակալավր,Վատ,1,P,Վարձու աշխատող,30,5,35000,Ոչ,Այո,Շատ օգտակար,1,Անգլերեն,Ֆրանսերեն,Գերազանց իմացություն,Շատ սահմանափակ իմացություն,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամիսը մեկ անգամից քիչ,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Ամեն օր,Ամեն օր,Երբեք,Ամիսը մեկ անգամից քիչ,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Այո,1,1,0,1,1,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,1,0,0,1,75,50,0,,,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
148,Երևան,4,Ամուսնացած,39,2,1,,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Բավարար,1,O,Վարձու աշխատող,40,2,200000,Ոչ,Այո,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,Այո,1,1,0,1,1,0,1,1,Միջին,Այո,Այո,Այո,1,1,0,0,1,250,25,0,,,Ոչ,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Ոչ
150,Երևան,5,Չամուսնացած,27,0,0,1,Միջին մասնագիտական,Բավարար,1,J,Վարձու աշխատող,63,7,200000,Ոչ,Այո,Բոլորովին օգտակար չէ,0,,,,,Մասնագիտացված իմացություն (ծրագրավորում),Ամիսը մեկ անգամից քիչ,Ամիսը մեկ անգամից քիչ,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Կիրառելի չէ,0,0,0,0,0,0,0,1,Միջին,Այո,Ոչ,Այո,1,0,0,0,1,390,250,0,,,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Ոչ
151,Երևան,4,Ամուսնացած,36,2,0,1,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Բավարար,1,J,Վարձու աշխատող,40,3,300000,Ոչ,Ոչ,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Ամեն օր,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամիսը մեկ անգամից քիչ,Երբեք,Ամիսը մեկ անգամից քիչ,Երբեք,Այո,1,1,0,0,0,1,1,1,Միջին,Այո,Ոչ,Այո,1,1,0,0,1,100,10,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Այո
152,Երևան,3,Ամուսնացած,50,0,0,1,Միջին մասնագիտական,Լավ,1,K,Վարձու աշխատող,40,3,230000,Ոչ,Այո,Շատ օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Ամեն օր,Երբեք,Կիրառելի չէ,1,0,0,0,0,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,0,0,0,1,200,5,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Ոչ
